"Brand","Model","Year","Horsepower","Price","FuelType","Transmission"
"Toyota","Camry",2020,203,24425,"Petrol","Automatic"
"Honda","Accord",2019,192,23720,"Petrol","Automatic"
"Ford","Mustang",2021,450,55000,"Petrol","Manual"
"Chevrolet","Malibu",2018,160,22000,"Petrol","Automatic"
"BMW","3 Series",2022,255,41250,"Petrol","Automatic"
"Audi","A4",2020,248,39900,"Petrol","Automatic"
"Mercedes","C-Class",2021,255,43000,"Diesel","Automatic"
"Hyundai","Elantra",2022,147,20000,"Petrol","Manual"
"Kia","Optima",2019,185,23000,"Petrol","Automatic"
"Nissan","Altima",2020,188,24000,"Petrol","Automatic"
"Tesla","Model 3",2022,283,46990,"Electric","Automatic"
"Volkswagen","Passat",2018,174,22500,"Diesel","Manual"
"Subaru","Impreza",2021,152,21000,"Petrol","Manual"
"Mazda","Mazda6",2020,187,24500,"Petrol","Manual"
"Lexus","ES 350",2021,302,41000,"Hybrid","Automatic"
"Jaguar","XE",2019,247,39900,"Diesel","Automatic"
"Dodge","Charger",2020,292,31000,"Petrol","Manual"
"Infiniti","Q50",2021,300,42000,"Petrol","Automatic"
"Genesis","G70",2022,252,39000,"Petrol","Automatic"
"Acura","TLX",2020,272,37500,"Petrol","Automatic"